state_id,mechanism,rank,neighbor_id,neighbor_mechanism,d,cross
2e10359a52c4c299,M6_temp_occupancy,1,e8f0bb32d5de2d24,M5_merge,0.017176,1
2e10359a52c4c299,M6_temp_occupancy,2,41e5d0a14afc65fe,M5_merge,0.018543,1
2e10359a52c4c299,M6_temp_occupancy,3,476bce23b3e638d5,M2_vehicle_crossing,0.035236,1
2e10359a52c4c299,M6_temp_occupancy,4,b1dab228a8902a1a,M5_merge,0.059152,1
2e10359a52c4c299,M6_temp_occupancy,5,c1332ddc8f341b8c,M5_merge,0.060145,1
6064f2415be71eba,M2_vehicle_crossing,1,534768c085f72923,M6_temp_occupancy,1e-06,1
6064f2415be71eba,M2_vehicle_crossing,2,8e8850bd484b4c94,M3_vru_crossing,0.00934,1
6064f2415be71eba,M2_vehicle_crossing,3,4c876e42879d5527,M5_merge,0.00934,1
6064f2415be71eba,M2_vehicle_crossing,4,f8c0a8cecce3a643,M3_vru_crossing,0.00934,1
6064f2415be71eba,M2_vehicle_crossing,5,585ffc8db08d83cd,M2_vehicle_crossing,0.00934,0
5618d078fc67e99f,M6_temp_occupancy,1,7ec53982d954fb89,M6_temp_occupancy,0.000929,0
5618d078fc67e99f,M6_temp_occupancy,2,8e1563974ac020a1,M6_temp_occupancy,0.002358,0
5618d078fc67e99f,M6_temp_occupancy,3,cfc120339602119,M4_cut_in,0.002358,1
5618d078fc67e99f,M6_temp_occupancy,4,b1bc03805735b4e4,M3_vru_crossing,0.002602,1
5618d078fc67e99f,M6_temp_occupancy,5,6c50f7bf6b8d17ee,M6_temp_occupancy,0.002602,0
fb6064f3ad03fffb,M1_lead_slow_stop,1,793ca3974b95f19e,M5_merge,0.0,1
fb6064f3ad03fffb,M1_lead_slow_stop,2,d1005ff0ae21f95d,M5_merge,0.0,1
fb6064f3ad03fffb,M1_lead_slow_stop,3,47b9320b31ab33ac,M4_cut_in,0.0,1
fb6064f3ad03fffb,M1_lead_slow_stop,4,bda923bbd61198da,M4_cut_in,0.0,1
fb6064f3ad03fffb,M1_lead_slow_stop,5,a0ba5287bfa5fa01,M6_temp_occupancy,0.0,1
3418ee634f3920df,M6_temp_occupancy,1,7c2ed9ab567e443f,M3_vru_crossing,0.0,1
3418ee634f3920df,M6_temp_occupancy,2,c757f0db71e9ac59,M2_vehicle_crossing,0.0,1
3418ee634f3920df,M6_temp_occupancy,3,9d2059d1b77947bc,M4_cut_in,0.0,1
3418ee634f3920df,M6_temp_occupancy,4,c1e9a535b80c7600,M5_merge,0.0,1
3418ee634f3920df,M6_temp_occupancy,5,26284a71f3345792,M2_vehicle_crossing,0.0,1
63eccbae339d909d,M3_vru_crossing,1,c4edbe4985f2d06d,M4_cut_in,0.04456,1
63eccbae339d909d,M3_vru_crossing,2,5c7ecedbcbb18b21,M5_merge,0.050849,1
63eccbae339d909d,M3_vru_crossing,3,61e1636e2ab9f43e,M1_lead_slow_stop,0.056952,1
63eccbae339d909d,M3_vru_crossing,4,b01112211aeddce1,M1_lead_slow_stop,0.058443,1
63eccbae339d909d,M3_vru_crossing,5,a0a7a5764d3e2c97,M1_lead_slow_stop,0.059489,1
8fe7e309e8650a73,M4_cut_in,1,bd7976b23815850c,M6_temp_occupancy,0.046646,1
8fe7e309e8650a73,M4_cut_in,2,cb86548c32715796,M1_lead_slow_stop,0.049315,1
8fe7e309e8650a73,M4_cut_in,3,bc30f1a4671b4030,M1_lead_slow_stop,0.049533,1
8fe7e309e8650a73,M4_cut_in,4,111da837fe570e37,M4_cut_in,0.049798,0
8fe7e309e8650a73,M4_cut_in,5,6e35ffca282009ab,M4_cut_in,0.054148,0
cb86548c32715796,M1_lead_slow_stop,1,ad89a673afcb15ef,M1_lead_slow_stop,0.017109,0
cb86548c32715796,M1_lead_slow_stop,2,bd7976b23815850c,M6_temp_occupancy,0.017845,1
cb86548c32715796,M1_lead_slow_stop,3,eeea7c01a12a8d7f,M4_cut_in,0.017929,1
cb86548c32715796,M1_lead_slow_stop,4,1a12220e6534c2e2,M5_merge,0.02391,1
cb86548c32715796,M1_lead_slow_stop,5,33baa7bec0df48e6,M6_temp_occupancy,0.024839,1
b1d458988d0b5eae,M1_lead_slow_stop,1,f1eead8948b039b3,M1_lead_slow_stop,0.003335,0
b1d458988d0b5eae,M1_lead_slow_stop,2,8f228d2e5a4fae1e,M1_lead_slow_stop,0.004414,0
b1d458988d0b5eae,M1_lead_slow_stop,3,af8d2b2e7bf74387,M1_lead_slow_stop,0.012662,0
b1d458988d0b5eae,M1_lead_slow_stop,4,46be633224ba688d,M1_lead_slow_stop,0.014016,0
b1d458988d0b5eae,M1_lead_slow_stop,5,94c25b4be74d177b,M1_lead_slow_stop,0.019636,0
61633963c7b2e131,M3_vru_crossing,1,fc2b51fef48a323,M3_vru_crossing,0.002032,0
61633963c7b2e131,M3_vru_crossing,2,b01112211aeddce1,M1_lead_slow_stop,0.033977,1
61633963c7b2e131,M3_vru_crossing,3,d1c30693ca04bbf4,M6_temp_occupancy,0.048686,1
61633963c7b2e131,M3_vru_crossing,4,a05540d6a0f4e3ab,M1_lead_slow_stop,0.053413,1
61633963c7b2e131,M3_vru_crossing,5,338402ef9081de8e,M5_merge,0.054828,1
555d8f939efafbb,M5_merge,1,8dfa61df6468c4b0,M3_vru_crossing,0.046526,1
555d8f939efafbb,M5_merge,2,ec1490e87d122e61,M4_cut_in,0.084752,1
