unique_instance_id,scenario_group,scenario_type,town,route_id,scenario_xml_name,trigger_x,trigger_y,trigger_yaw,source_file,notes
Town12|0|HardBreakRoute|225.5|6100.9|180.0,A_HardBreak,HardBreakRoute,Town12,0,HardBreakRoute_1,225.5,6100.9,180.0,routes_training.xml,
Town12|0|HardBreakRoute|97.4|6100.9|180.0,A_HardBreak,HardBreakRoute,Town12,0,HardBreakRoute_2,97.4,6100.9,180.0,routes_training.xml,
Town12|0|VehicleTurningRoute|-711.8|6163.6|113.0,C_VehicleTurning,VehicleTurningRoute,Town12,0,VehicleTurningRoute_1,-711.8,6163.6,113.0,routes_training.xml,
Town12|0|HardBreakRoute|-817.5|5860.5|269.9,A_HardBreak,HardBreakRoute,Town12,0,HardBreakRoute_3,-817.5,5860.5,269.9,routes_training.xml,
Town12|0|HardBreakRoute|-819.0|5027.2|269.9,A_HardBreak,HardBreakRoute,Town12,0,HardBreakRoute_4,-819.0,5027.2,269.9,routes_training.xml,
Town12|0|VehicleTurningRoute|-495.9|5033.4|89.7,C_VehicleTurning,VehicleTurningRoute,Town12,0,VehicleTurningRoute_2,-495.9,5033.4,89.7,routes_training.xml,
Town12|0|HardBreakRoute|-535.4|5234.1|0.9,A_HardBreak,HardBreakRoute,Town12,0,HardBreakRoute_5,-535.4,5234.1,0.9,routes_training.xml,
Town12|0|HardBreakRoute|-374.1|5188.6|-47.7,A_HardBreak,HardBreakRoute,Town12,0,HardBreakRoute_6,-374.1,5188.6,-47.7,routes_training.xml,
Town12|0|HardBreakRoute|-168.0|5395.3|66.3,A_HardBreak,HardBreakRoute,Town12,0,HardBreakRoute_7,-168.0,5395.3,66.3,routes_training.xml,
Town12|1|ParkingCutIn|-710.9|3587.4|-90.0,B_ParkingCutIn,ParkingCutIn,Town12,1,ParkingCutIn_1,-710.9,3587.4,-90.0,routes_training.xml,
Town12|1|HardBreakRoute|-764.2|3490.1|179.9,A_HardBreak,HardBreakRoute,Town12,1,HardBreakRoute_1,-764.2,3490.1,179.9,routes_training.xml,
Town12|1|VehicleTurningRoute|-1158.2|3796.6|180.3,C_VehicleTurning,VehicleTurningRoute,Town12,1,VehicleTurningRoute_1,-1158.2,3796.6,180.3,routes_training.xml,
Town12|1|HardBreakRoute|-1215.9|3591.3|91.5,A_HardBreak,HardBreakRoute,Town12,1,HardBreakRoute_2,-1215.9,3591.3,91.5,routes_training.xml,
Town12|1|VehicleTurningRoute|-1156.6|3673.1|16.6,C_VehicleTurning,VehicleTurningRoute,Town12,1,VehicleTurningRoute_2,-1156.6,3673.1,16.6,routes_training.xml,
Town12|1|HardBreakRoute|-1527.0|3567.2|277.0,A_HardBreak,HardBreakRoute,Town12,1,HardBreakRoute_3,-1527.0,3567.2,277,routes_training.xml,
Town12|1|PedestrianCrossing|-1553.4|3309.4|270.1,D_PedestrianCrossing,PedestrianCrossing,Town12,1,PedestrianCrossing_1,-1553.4,3309.4,270.1,routes_training.xml,
Town12|1|PedestrianCrossing|-1320.1|3691.8|-12.7,D_PedestrianCrossing,PedestrianCrossing,Town12,1,PedestrianCrossing_2,-1320.1,3691.8,-12.7,routes_training.xml,
Town12|1|HardBreakRoute|-1671.8|4950.6|89.8,A_HardBreak,HardBreakRoute,Town12,1,HardBreakRoute_4,-1671.8,4950.6,89.8,routes_training.xml,
Town12|1|HardBreakRoute|-1667.7|5154.7|89.8,A_HardBreak,HardBreakRoute,Town12,1,HardBreakRoute_5,-1667.7,5154.7,89.8,routes_training.xml,
Town12|1|VehicleTurningRoute|-1667.1|5294.5|89.8,C_VehicleTurning,VehicleTurningRoute,Town12,1,VehicleTurningRoute_3,-1667.1,5294.5,89.8,routes_training.xml,
Town12|2|ParkingCutIn|-174.5|4391.1|269.9,B_ParkingCutIn,ParkingCutIn,Town12,2,ParkingCutIn_1,-174.5,4391.1,269.9,routes_training.xml,
Town12|2|ParkingCutIn|-284.4|4056.2|-90.3,B_ParkingCutIn,ParkingCutIn,Town12,2,ParkingCutIn_2,-284.4,4056.2,-90.3,routes_training.xml,
Town12|2|ParkingCutIn|-177.4|3996.6|89.7,B_ParkingCutIn,ParkingCutIn,Town12,2,ParkingCutIn_3,-177.4,3996.6,89.7,routes_training.xml,
Town12|2|PedestrianCrossing|-177.2|4041.6|89.7,D_PedestrianCrossing,PedestrianCrossing,Town12,2,PedestrianCrossing_1,-177.2,4041.6,89.7,routes_training.xml,
Town12|2|PedestrianCrossing|-390.3|4151.4|90.0,D_PedestrianCrossing,PedestrianCrossing,Town12,2,PedestrianCrossing_2,-390.3,4151.4,90.0,routes_training.xml,
Town12|2|HardBreakRoute|-412.8|4192.2|179.9,A_HardBreak,HardBreakRoute,Town12,2,HardBreakRoute_1,-412.8,4192.2,179.9,routes_training.xml,
Town12|2|ParkingCutIn|-390.3|4017.5|90.0,B_ParkingCutIn,ParkingCutIn,Town12,2,ParkingCutIn_4,-390.3,4017.5,90.0,routes_training.xml,
Town12|2|ParkingCutIn|-604.9|4001.7|90.1,B_ParkingCutIn,ParkingCutIn,Town12,2,ParkingCutIn_5,-604.9,4001.7,90.1,routes_training.xml,
Town12|2|HardBreakRoute|-643.7|4347.6|136.6,A_HardBreak,HardBreakRoute,Town12,2,HardBreakRoute_2,-643.7,4347.6,136.6,routes_training.xml,
Town12|2|HardBreakRoute|-299.1|4302.6|-0.3,A_HardBreak,HardBreakRoute,Town12,2,HardBreakRoute_3,-299.1,4302.6,-0.3,routes_training.xml,
Town12|2|HardBreakRoute|251.5|4250.2|-90.1,A_HardBreak,HardBreakRoute,Town12,2,HardBreakRoute_4,251.5,4250.2,-90.1,routes_training.xml,
Town12|2|ParkingCutIn|249.3|4060.8|-90.2,B_ParkingCutIn,ParkingCutIn,Town12,2,ParkingCutIn_6,249.3,4060.8,-90.2,routes_training.xml,
Town12|2|VehicleTurningRoute|248.9|3833.3|270.0,C_VehicleTurning,VehicleTurningRoute,Town12,2,VehicleTurningRoute_1,248.9,3833.3,270.0,routes_training.xml,
Town12|2|HardBreakRoute|130.0|3810.0|179.9,A_HardBreak,HardBreakRoute,Town12,2,HardBreakRoute_5,130.0,3810.0,179.9,routes_training.xml,
