route,config_name,scenario_group,frame,scenario_progress,num_dynamic_actors,dominant_actor_id,dominant_token_idx,D1,D2,D1_D2_ratio,pass_D1,pass_ratio,single_dominant,snapshot_path
route14,HardBreakRoute_1,HardBreakRoute,178,-1,17,3705,3,2.74771,0.02888,54.954,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000178.npz
route14,HardBreakRoute_1,HardBreakRoute,182,-1,17,3705,3,3.1707,0.03011,63.414,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000182.npz
route14,HardBreakRoute_1,HardBreakRoute,186,-1,17,3705,3,3.80647,0.03321,76.129,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000186.npz
route14,HardBreakRoute_1,HardBreakRoute,190,-1,19,3705,3,5.04427,0.02593,100.885,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000190.npz
route14,HardBreakRoute_1,HardBreakRoute,194,-1,19,3705,3,6.46487,0.03368,129.297,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000194.npz
route14,HardBreakRoute_1,HardBreakRoute,198,-1,19,3705,3,6.73859,0.15231,44.241,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000198.npz
route14,HardBreakRoute_1,HardBreakRoute,202,-1,20,3705,3,0.72039,0.55729,1.293,1,0,0,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000202.npz
route14,HardBreakRoute_1,HardBreakRoute,206,-1,20,3706,2,0.86835,0.03367,17.367,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000206.npz
route14,HardBreakRoute_1,HardBreakRoute,210,-1,19,3706,2,1.20634,0.02819,24.127,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000210.npz
route14,HardBreakRoute_1,HardBreakRoute,214,-1,19,3706,2,1.7956,0.03226,35.912,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000214.npz
route14,HardBreakRoute_1,HardBreakRoute,218,-1,19,3706,2,2.79981,0.03169,55.996,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000218.npz
route14,HardBreakRoute_1,HardBreakRoute,222,-1,19,3706,2,4.2374,0.03701,84.748,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000222.npz
route14,HardBreakRoute_1,HardBreakRoute,226,-1,19,3706,2,5.42809,0.03502,108.562,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000226.npz
route14,HardBreakRoute_1,HardBreakRoute,230,-1,19,3706,2,6.434,0.03077,128.68,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000230.npz
route14,HardBreakRoute_1,HardBreakRoute,234,-1,19,3706,2,7.39539,0.02622,147.908,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000234.npz
route14,HardBreakRoute_1,HardBreakRoute,238,-1,20,3706,3,8.11619,0.27925,29.064,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000238.npz
route14,HardBreakRoute_1,HardBreakRoute,242,-1,20,3706,3,6.64572,0.33552,19.807,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000242.npz
route14,HardBreakRoute_1,HardBreakRoute,246,-1,21,3706,4,4.10425,0.49663,8.264,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000246.npz
route14,HardBreakRoute_1,HardBreakRoute,250,-1,21,3706,4,2.33841,0.43356,5.394,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000250.npz
route14,HardBreakRoute_1,HardBreakRoute,254,-1,20,3706,4,0.98412,0.61111,1.61,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000254.npz
route14,HardBreakRoute_1,HardBreakRoute,258,-1,20,3705,5,1.07272,0.43305,2.477,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000258.npz
route14,HardBreakRoute_1,HardBreakRoute,262,-1,20,3705,5,1.25013,0.60051,2.082,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000262.npz
route14,HardBreakRoute_1,HardBreakRoute,266,-1,20,3706,4,3.47956,0.81867,4.25,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000266.npz
route14,HardBreakRoute_1,HardBreakRoute,270,-1,20,3706,4,3.27244,0.64769,5.052,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000270.npz
route14,HardBreakRoute_1,HardBreakRoute,274,-1,20,3706,4,4.56453,1.26147,3.618,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000274.npz
route14,HardBreakRoute_1,HardBreakRoute,278,-1,20,3706,4,5.26681,1.26411,4.166,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000278.npz
route14,HardBreakRoute_1,HardBreakRoute,282,-1,20,3706,4,5.22705,1.55617,3.359,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000282.npz
route14,HardBreakRoute_1,HardBreakRoute,286,-1,20,3706,4,4.93995,2.25488,2.191,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000286.npz
route14,HardBreakRoute_1,HardBreakRoute,290,-1,20,3706,4,4.49044,2.31724,1.938,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000290.npz
route14,HardBreakRoute_1,HardBreakRoute,294,-1,20,3706,4,4.04449,2.46048,1.644,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000294.npz
route14,HardBreakRoute_1,HardBreakRoute,298,-1,20,3706,4,6.06258,4.12538,1.47,1,0,0,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000298.npz
route14,HardBreakRoute_1,HardBreakRoute,302,-1,20,3706,4,6.27376,3.30619,1.898,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000302.npz
route14,HardBreakRoute_1,HardBreakRoute,306,-1,20,3706,4,5.62139,2.12028,2.651,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000306.npz
route14,HardBreakRoute_1,HardBreakRoute,310,-1,20,3706,4,6.17,0.65445,9.428,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000310.npz
route14,HardBreakRoute_1,HardBreakRoute,314,-1,19,3706,4,7.35509,1.4928,4.927,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000314.npz
route14,HardBreakRoute_1,HardBreakRoute,318,-1,19,3706,4,6.32987,1.05216,6.016,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000318.npz
route14,HardBreakRoute_1,HardBreakRoute,322,-1,19,3706,4,5.7082,0.73822,7.732,1,1,1,outputs/gate6/snapshots/exact_town12_route14_route0_09_04_15_52_40/f000322.npz
